Section,h[mm],b[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Iz[cm4],Ip[cm4],iy[mm],iz[mm],ip[mm],max Sy[cm3],max Sz[cm3],Wy[cm3],Wz[cm3],Ay[cm2],Az[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,z[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","αpl,z","Apl,y[cm2]","Apl,z[cm2]",Npl[kN],"Vpl,y[kN]","Vpl,z[kN]","Mpl,y[kNm]","Mpl,z[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
RHS 220x120x12.5,220,120,12.5,18.8,12.5,170,77.1,4560,1710,6270,76.9,47.1,90.2,132.39,85.19,415,285,18.97,48.03,4090,39.62,4050.38,365.19,477.77,17.7,8265.59,11.5,466.87,92.49,529.57,341.12,180.63,90,1.276,1.197,26.87,51.87,1810.994,364.633,703.826,124.45,80.16,1810.994,60.5,0.648,7710,84.047,221.72
RHS 220x120x14.2,220,120,14.2,21.3,14.2,163.2,86.3,5000,1850,6850,76.1,46.3,89.1,146.56,93.88,454,309,21.13,54.27,4490,57.15,4432.85,410.07,519.16,17.37,8995.43,11.5,517.84,101.88,586.23,375.88,189.1,102.24,1.291,1.216,30.05,58.45,2028.475,407.672,792.996,137.76,88.33,2028.475,67.7,0.643,8630,74.508,216.01
RHS 220x120x16.0,220,120,16,24,16,156,95.8,5410,1990,7400,75.2,45.5,87.9,160.6,102.45,492,331,23.6,60.5,4870,80.35,4789.65,455.44,557.98,16.99,9659.05,11.4,568.4,111.04,642.38,409.8,194.69,115.2,1.306,1.238,33.28,65.28,2251.228,451.534,885.701,150.96,96.3,2251.228,75.2,0.639,9580,66.701,209.96
RHS 250x100x5.0,250,100,5,7.5,5,230,33.7,2610,618,3228,88,42.8,97.9,65.77,34.4,209,124,5.75,22.91,1620,2.8,1617.2,284.49,217.26,25.68,7527.37,15.3,293.11,62.03,263.08,137.6,132.25,25,1.259,1.11,9.5,24.5,792.659,128.893,332.409,61.82,32.34,792.659,26.5,0.687,3370,203.858,232.54
RHS 250x100x5.6,250,100,5.6,9,5.6,227.6,37.6,2890,681,3571,87.7,42.5,97.5,72.78,38.01,231,136,6.44,25.84,1790,3.9,1786.1,318.53,239.2,25.52,8316.23,15.3,325.88,68.71,291.13,152.05,145.04,28,1.26,1.118,10.57,27.37,881.649,143.449,371.387,68.42,35.73,881.649,29.5,0.686,3760,182.447,230.38
RHS 250x100x6.3,250,100,6.3,9.4,6.3,224.8,42.1,3210,751,3961,87.3,42.2,97,81.4,42.35,257,150,7.15,28.76,1980,5.53,1974.47,355.44,263.88,25.36,9202.63,15.2,362.92,76.52,325.61,169.4,159.19,31.5,1.267,1.129,11.81,30.71,988.974,160.183,416.613,76.52,39.81,988.974,33,0.684,4210,162.47,228.01
RHS 250x100x7.1,250,100,7.1,10.7,7.1,221.6,47.1,3560,827,4387,86.9,41.9,96.5,90.72,47.04,285,165,7.98,32.28,2200,7.87,2192.13,398.32,290.74,25.15,10174.45,15.2,404.55,85.1,362.9,188.17,174.33,35.5,1.273,1.14,13.19,34.49,1107.779,178.983,467.975,85.28,44.22,1107.779,37,0.682,4710,144.798,225.22
RHS 250x100x8.0,250,100,8,12,8,218,52.8,3940,909,4849,86.4,41.5,95.8,100.95,52.08,315,182,8.92,36.22,2430,11.17,2418.83,445.8,319.35,24.91,11213.46,15.2,450.14,94.4,403.78,208.56,190.1,40,1.282,1.146,14.72,38.72,1239.607,199.717,525.343,94.89,49.01,1239.607,41.4,0.679,5280,128.598,222.09
RHS 250x100x8.8,250,100,8.8,13.2,8.8,214.8,57.7,4270,977,5247,86,41.2,95.4,109.79,56.46,341,195,9.72,39.79,2630,14.76,2615.24,487.24,343.4,24.69,12088.45,15.2,489.57,102.43,439.18,226.06,203.01,44,1.288,1.159,16.05,42.45,1355.165,217.778,575.966,103.21,53.12,1355.165,45.3,0.677,5770,117.331,219.31
RHS 250x100x10.0,250,100,10,15,10,210,64.9,4730,1070,5800,85.4,40.6,94.6,122.65,62.74,379,214,10.86,44.85,2910,21.43,2888.57,547.97,377.13,24.35,13314.6,15.2,546.71,113.97,490.6,251.2,220.5,50,1.294,1.174,18,48,1525.636,244.219,651.251,115.29,59.03,1525.636,50.9,0.674,6490,103.852,215.14
RHS 250x100x11.0,250,100,11,16.5,11,206,70.9,5100,1140,6240,84.9,40.2,93.9,132.99,67.73,408,229,11.75,49.15,3130,28.27,3101.73,597.14,403.17,24.06,14256.76,15.1,592.49,123.15,531.95,271.14,233.4,55,1.304,1.184,19.58,52.58,1665.07,265.656,713.391,125.01,63.72,1665.07,55.7,0.672,7090,94.781,211.67
RHS 250x100x12.5,250,100,12.5,18.8,12.5,200,79.6,5620,1240,6860,84.1,39.6,93,147.85,74.84,450,249,13.16,55.49,3440,40.92,3399.08,668.22,438.88,23.61,15533.38,15,657.93,136.18,591.41,299.37,250,62.5,1.314,1.202,21.88,59.38,1869.744,296.794,805.584,138.98,70.35,1869.744,62.5,0.668,7960,83.92,206.47
RHS 250x100x14.2,250,100,14.2,21.3,14.2,193.2,89.2,6160,1340,7500,83.1,38.8,91.7,163.78,82.24,493,269,14.71,62.52,3750,59.06,3690.94,744.4,474.75,23.07,16781.01,15,727.28,149.74,655.13,328.95,265.02,71,1.329,1.223,24.37,66.97,2095.215,330.608,908.593,153.96,77.3,2095.215,70,0.663,8920,74.327,200.59
RHS 250x100x16.0,250,100,16,24,16,186,99,6690,1430,8120,82.2,38,90.6,179.6,89.33,535,287,16.28,70.07,4050,83.08,3966.92,819.41,507.75,22.48,17870.71,14.8,794.96,162.7,718.4,357.52,276.77,80,1.343,1.246,26.88,74.88,2326.428,364.701,1015.952,168.82,84.02,2326.428,77.7,0.659,9900,66.566,194.36
RHS 250x150x5.0,250,150,5,7.5,5,230,38.7,3360,1530,4890,93.1,62.8,112.3,81.08,57.04,269,204,10.52,22.35,3280,3.21,3276.79,186.43,337.07,23.05,6802.35,11.8,295.07,59.46,324.33,228.18,132.25,56.25,1.206,1.119,14.5,24.5,910.159,196.732,332.409,76.22,53.62,910.159,30.4,0.787,3870,203.359,355.04
RHS 250x150x5.6,250,150,5.6,9,5.6,227.6,43.2,3730,1690,5420,92.9,62.5,112,89.89,63.21,298,225,11.77,25.23,3640,4.49,3635.51,209.46,372.68,23.01,7552.82,11.8,328.22,65.94,359.57,252.84,145.04,63,1.207,1.124,16.17,27.37,1013.249,219.428,371.387,84.5,59.42,1013.249,33.9,0.786,4320,181.944,352.58
RHS 250x150x6.3,250,150,6.3,9.4,6.3,224.8,48.4,4140,1870,6010,92.5,62.2,111.5,100.59,70.62,331,250,13.05,28.01,4050,6.37,4043.63,234.47,413.1,22.92,8397.76,11.8,366.44,73.61,402.37,282.48,159.19,70.88,1.216,1.13,18.11,30.71,1137.024,245.66,416.613,94.56,66.38,1137.024,38,0.784,4840,161.983,349.86
RHS 250x150x7.1,250,150,7.1,10.7,7.1,221.6,54.2,4610,2080,6690,92.2,61.9,111.1,112.28,78.72,368,277,14.74,31.58,4520,9.06,4510.94,263.89,457.67,22.83,9343.24,11.8,409.32,82.06,449.13,314.89,174.33,79.88,1.22,1.137,20.29,34.49,1274.629,275.314,467.975,105.55,74,1274.629,42.5,0.782,5420,144.28,346.67
RHS 250x150x8.0,250,150,8,12,8,218,60.8,5110,2300,7410,91.7,61.5,110.4,125.15,87.61,409,306,16.51,35.4,5020,12.87,5007.13,296.85,505.87,22.72,10373.46,11.8,456.62,91.32,500.58,350.44,190.1,90,1.224,1.145,22.72,38.72,1427.607,308.259,525.343,117.64,82.35,1427.607,47.7,0.779,6080,128.125,343.09
RHS 250x150x8.8,250,150,8.8,13.2,8.8,214.8,66.5,5550,2490,8040,91.3,61.2,109.9,136.33,95.31,444,331,18.1,38.91,5460,17.03,5442.97,326.01,547.03,22.62,11259.17,11.8,497.85,99.34,545.3,381.23,203.01,99,1.228,1.152,24.85,42.45,1561.965,337.174,575.966,128.15,89.59,1561.965,52.2,0.777,6650,116.842,339.91
RHS 250x150x10.0,250,150,10,15,10,210,74.9,6170,2760,8930,90.8,60.6,109.2,152.65,106.5,494,367,20.43,43.93,6090,24.76,6065.24,369.44,605.87,22.45,12534.07,11.8,558.26,110.99,610.6,426,220.5,112.5,1.236,1.161,28,48,1760.636,379.896,651.251,143.49,100.11,1760.636,58.8,0.774,7490,103.338,335.14
RHS 250x150x11.0,250,150,11,16.5,11,206,81.9,6670,2970,9640,90.3,60.2,108.5,165.85,115.51,534,396,22.3,48.16,6600,32.7,6567.3,405.33,652.35,22.31,13546.64,11.9,607.3,120.36,663.4,462.03,233.4,123.75,1.242,1.167,30.58,52.58,1923.57,414.901,713.391,155.9,108.58,1923.57,64.3,0.772,8190,94.261,331.17
RHS 250x150x12.5,250,150,12.5,18.8,12.5,200,92.1,7390,3260,10650,89.6,59.6,107.6,184.96,128.28,591,435,24.98,54.56,7330,47.43,7282.57,458.53,717.84,22.07,14979.17,11.9,678.64,133.74,739.85,513.91,250,140.63,1.252,1.181,34.37,59.38,2163.494,466.391,805.584,173.86,120.77,2163.494,72.3,0.768,9210,83.388,325.22
RHS 250x150x14.2,250,150,14.2,21.3,14.2,193.2,103,8140,3580,11720,88.7,58.8,106.4,205.64,142.21,651,477,28.25,61.54,8100,68.6,8031.4,517.7,786.22,21.79,16475.2,11.9,756.26,148.15,822.55,569.6,265.02,159.75,1.264,1.194,38.57,66.97,2428.915,523.269,908.593,193.3,133.86,2428.915,80.9,0.763,10300,74.078,318.49
RHS 250x150x16.0,250,150,16,24,16,186,115,8880,3870,12750,87.9,58,105.3,226.4,156.07,710,516,31.35,68.92,8870,96.73,8773.27,578.8,852.19,21.46,17908.54,11.9,834.68,162.44,905.6,625.02,276.77,180,1.275,1.211,42.88,74.88,2702.428,581.784,1015.952,212.82,146.88,2702.428,90.3,0.759,11500,66,311.36
RHS 260x140x5.0,260,140,5,7.5,5,240,38.7,3530,1350,4880,95.5,59.1,112.3,82.8,53.95,272,193,9.3,23.46,3080,3.21,3076.79,254.34,326.11,26.68,9192.8,13.7,344.59,70.35,331.19,215.81,144,49,1.218,1.118,13.5,25.5,910.159,183.164,345.977,77.83,50.72,910.159,30.4,0.787,3870,203.359,344.04
RHS 260x140x5.6,260,140,5.6,9,5.6,237.6,43.2,3920,1500,5420,95.2,58.9,111.9,91.79,59.77,301,214,10.53,26.5,3420,4.49,3415.51,285.57,360.42,26.6,10199.8,13.7,383.49,78.1,367.16,239.09,158.07,54.88,1.22,1.117,15.05,28.49,1013.249,204.232,386.583,86.28,56.19,1013.249,33.9,0.786,4320,181.944,341.58
RHS 260x140x6.3,260,140,6.3,9.4,6.3,234.8,48.4,4360,1660,6020,94.9,58.6,111.5,102.72,66.76,335,237,11.69,29.54,3800,6.37,3793.63,319.52,399.32,26.48,11334.89,13.7,428.06,87.17,410.89,267.03,173.66,61.74,1.227,1.127,16.85,31.97,1137.024,228.565,433.709,96.56,62.75,1137.024,38,0.784,4840,161.983,338.86
RHS 260x140x7.1,260,140,7.1,10.7,7.1,231.6,54.2,4840,1840,6680,94.5,58.2,111,114.66,74.39,372,263,13.12,33.1,4230,9.06,4220.94,359.32,442.16,26.35,12601.03,13.7,478.2,97.18,458.65,297.56,190.42,69.58,1.233,1.131,18.87,35.91,1274.629,256.048,487.242,107.78,69.93,1274.629,42.5,0.782,5420,144.28,335.67
RHS 260x140x8.0,260,140,8,12,8,228,60.8,5370,2030,7400,94,57.8,110.3,127.8,82.76,413,290,14.64,37.17,4700,12.87,4687.13,403.81,488.43,26.2,13977.52,13.7,533.51,108.15,511.2,331.02,207.94,78.4,1.238,1.141,21.12,40.32,1427.607,286.55,547.051,120.13,77.79,1427.607,47.7,0.779,6080,128.125,332.09
RHS 260x140x8.8,260,140,8.8,13.2,8.8,224.8,66.5,5830,2200,8030,93.7,57.5,109.9,139.22,89.99,449,314,16.1,40.82,5110,17.03,5092.97,443.07,527.88,26.06,15158.07,13.7,581.69,117.66,556.87,359.98,222.35,86.24,1.24,1.146,23.09,44.21,1561.965,313.295,599.846,130.86,84.6,1561.965,52.2,0.777,6650,116.842,328.91
RHS 260x140x10.0,260,140,10,15,10,220,74.9,6490,2430,8920,93.1,57,109.2,155.89,100.51,499,347,18.07,46.2,5700,24.76,5675.24,501.41,584.17,25.84,16852.21,13.7,652.24,131.47,623.57,402.04,242,98,1.25,1.159,26,50,1760.636,352.761,678.387,146.54,94.48,1760.636,58.8,0.774,7490,103.338,324.14
RHS 260x140x11.0,260,140,11,16.5,11,216,81.9,7020,2620,9640,92.6,56.5,108.5,169.37,108.8,540,374,19.83,50.7,6170,32.7,6137.3,549.48,628.54,25.64,18192.9,13.7,709.45,142.47,677.49,435.84,256.61,107.8,1.255,1.165,28.38,54.78,1923.57,385.052,743.24,159.21,102.42,1923.57,64.3,0.772,8190,94.261,320.17
RHS 260x140x12.5,260,140,12.5,18.8,12.5,210,92.1,7770,2880,10650,91.8,55.9,107.5,188.89,120.95,597,411,22.31,57.32,6840,47.43,6792.57,620.41,690.91,25.34,20081.17,13.7,792.54,158.42,755.57,484.44,275.63,122.5,1.266,1.179,31.87,61.87,2163.494,432.471,839.503,177.56,113.84,2163.494,72.3,0.768,9210,83.388,314.22
RHS 260x140x14.2,260,140,14.2,21.3,14.2,203.2,103,8560,3140,11700,91,55.2,106.4,210.01,133.97,658,449,24.91,64.66,7560,68.6,7491.4,698.93,755.8,24.97,22040.52,13.7,882.73,175.48,840.04,536.49,293.16,139.16,1.277,1.195,35.73,69.81,2428.915,484.737,947.125,197.41,126.08,2428.915,80.9,0.763,10300,74.078,307.49
RHS 260x140x16.0,260,140,16,24,16,196,115,9340,3400,12740,90.1,54.4,105.2,231.21,146.9,718,486,27.8,72.44,8260,96.73,8163.27,779.53,818.14,24.55,23902.59,13.7,973.55,192.36,924.86,588.16,307.33,156.8,1.288,1.21,39.68,78.08,2702.428,538.368,1059.368,217.34,138.22,2702.428,90.3,0.759,11500,66,300.36
RHS 260x180x8.0,260,180,8,12,8,228,67.2,6390,3610,10000,97.5,73.3,122,147.96,114.73,492,401,21.01,36.28,7220,14.24,7205.76,222.43,644.32,21.08,9588.63,9.8,454.76,89.65,591.84,458.92,207.94,129.6,1.203,1.144,27.52,40.32,1578.007,373.384,547.051,139.08,107.85,1578.007,52.8,0.859,6720,127.827,432.89
RHS 260x180x8.8,260,180,8.8,13.2,8.8,224.8,73.5,6940,3910,10850,97.2,73,121.6,161.32,124.99,534,435,22.97,39.79,7860,18.85,7841.15,244.66,698.18,21.04,10433.24,9.8,495.97,97.59,645.29,499.95,222.35,142.56,1.208,1.149,30.13,44.21,1727.405,408.812,599.846,151.64,117.49,1727.405,57.7,0.857,7350,116.599,429.39
RHS 260x180x10.0,260,180,10,15,10,220,82.9,7740,4350,12090,96.6,72.4,120.7,180.89,139.97,595,483,25.98,45.06,8800,27.43,8772.57,277.97,775.69,20.95,11659.96,9.8,556.49,109.15,723.57,559.88,242,162,1.216,1.159,34,50,1948.636,461.303,678.387,170.04,131.57,1948.636,65.1,0.854,8290,103.016,424.14
RHS 260x180x11.0,260,180,11,16.5,11,216,90.7,8380,4700,13080,96.2,72,120.2,196.76,152.09,645,522,28.45,49.41,9550,36.25,9513.75,305.67,837.36,20.87,12644.81,9.8,605.77,118.47,787.05,608.35,256.61,178.2,1.22,1.165,37.18,54.78,2130.37,504.448,743.24,184.96,142.96,2130.37,71.2,0.852,9070,93.936,419.77
RHS 260x180x12.5,260,180,12.5,18.8,12.5,210,102,9300,5200,14500,95.4,71.3,119.1,219.83,169.64,715,577,32.15,55.91,10600,52.64,10547.36,347.05,925.06,20.74,14057.08,9.8,677.76,131.92,879.32,678.56,275.63,202.5,1.23,1.176,41.87,61.88,2398.494,568.149,839.503,206.64,159.46,2398.494,80.1,0.848,10200,83.137,413.22
RHS 260x180x14.2,260,180,14.2,21.3,14.2,203.2,115,10300,5720,16020,94.6,70.6,118,244.91,188.31,791,635,36.19,63.43,11800,76.24,11723.76,393.61,1017.73,20.57,15561.09,9.9,756.61,146.32,979.65,754.57,293.16,230.04,1.238,1.188,47.09,69.81,2695.875,638.866,947.125,230.22,177.32,2695.875,90.3,0.843,11500,73.304,405.81
RHS 260x180x16.0,260,180,16,24,16,196,128,11200,6230,17430,93.8,69.8,116.9,270.25,207.41,865,692,40.4,70.2,13000,107.66,12892.34,442.32,1108.41,20.36,17038.55,9.9,836.95,160.8,1081.02,830.95,307.33,259.2,1.25,1.201,52.48,78.08,3003.228,712.035,1059.368,254.04,195.27,3003.228,100.5,0.839,12800,65.547,397.96
RHS 300x100x5.0,300,100,5,7.5,5,280,38.7,4150,731,4881,103,43.4,111.8,88.41,40.34,276,146,5.22,27.68,2040,3.21,2036.79,496.26,262.41,35.88,16897.54,18.6,470.88,101.86,353.65,161.35,196,25,1.281,1.105,9.5,29.5,910.159,128.893,400.248,83.11,37.92,910.159,30.4,0.787,3870,203.359,280.04
RHS 300x100x5.6,300,100,5.6,9,5.6,277.6,43.2,4600,806,5406,103,43.2,111.7,97.98,44.62,307,161,5.84,31.18,2260,4.49,2255.51,555.05,289.14,35.65,18675.23,18.6,523.78,112.99,391.93,178.48,215.77,28,1.277,1.109,10.57,32.97,1013.249,143.449,447.366,92.1,41.94,1013.249,33.9,0.786,4320,181.944,277.58
RHS 300x100x6.3,300,100,6.3,9.4,6.3,274.8,48.4,5110,890,6000,103,42.9,111.6,109.67,49.73,341,178,6.48,34.64,2500,6.37,2493.63,619.04,319.25,35.43,20675.04,18.6,583.59,125.92,438.69,198.91,237.87,31.5,1.286,1.117,11.81,37.01,1137.024,160.183,502.09,103.09,46.74,1137.024,38,0.784,4840,161.983,274.86
RHS 300x100x7.1,300,100,7.1,10.7,7.1,271.6,54.2,5680,981,6661,102,42.5,110.5,122.41,55.29,379,196,7.23,38.92,2780,9.06,2770.94,693.03,352.1,35.14,22871.41,18.5,650.89,140.18,489.62,221.15,261.87,35.5,1.292,1.128,13.19,41.59,1274.629,178.983,564.306,115.06,51.97,1274.629,42.5,0.782,5420,144.28,271.67
RHS 300x100x8.0,300,100,8,12,8,268,60.8,6300,1080,7380,102,42.1,110.3,136.41,61.28,420,216,8.09,43.68,3070,12.87,3057.13,774.78,387.18,34.81,25224.9,18.5,724.72,155.68,545.66,245.36,287.3,40,1.299,1.136,14.72,46.72,1427.607,199.717,633.884,128.23,57.66,1427.607,47.7,0.779,6080,128.125,268.09
RHS 300x100x8.8,300,100,8.8,13.2,8.8,264.8,66.5,6840,1160,8000,101,41.8,109.3,148.59,66.49,456,232,8.78,47.97,3320,17.03,3302.97,846.01,416.75,34.51,27212.11,18.4,788.64,169.1,594.34,266.19,308.52,44,1.303,1.147,16.05,51.25,1561.965,217.778,695.363,139.67,62.55,1561.965,52.2,0.777,6650,116.842,264.91
RHS 300x100x10.0,300,100,10,15,10,260,74.9,7610,1280,8890,101,41.3,109.1,166.35,73.99,508,255,9.92,54.25,3680,24.76,3655.24,950.18,458.37,34.04,30007.29,18.4,881.46,188.47,665.41,296.2,338,50,1.31,1.162,18,58,1760.636,244.219,786.928,156.37,69.61,1760.636,58.8,0.774,7490,103.338,260.14
RHS 300x100x11.0,300,100,11,16.5,11,256,81.9,8230,1360,9590,100,40.8,108,180.71,79.97,549,273,10.64,59.52,3960,32.7,3927.3,1034.37,490.62,33.65,32165.87,18.3,955.97,203.92,722.84,320.09,360.45,55,1.317,1.173,19.58,63.58,1923.57,265.656,862.636,169.87,75.22,1923.57,64.3,0.772,8190,94.261,256.17
RHS 300x100x12.5,300,100,12.5,18.8,12.5,250,92.1,9100,1490,10590,99.4,40.2,107.2,201.49,88.52,607,297,12.03,67.16,4350,47.43,4302.57,1155.84,535.07,33.04,35111.92,18.2,1062.77,225.99,805.95,354.06,390.62,62.5,1.328,1.192,21.87,71.87,2163.494,296.794,975.181,189.4,83.2,2163.494,72.3,0.768,9210,83.388,250.22
RHS 300x100x14.2,300,100,14.2,21.3,14.2,243.2,103,10000,1610,11610,98.5,39.4,106.1,223.94,97.47,669,321,13.36,75.41,4760,68.6,4691.4,1285.87,580.02,32.32,38026.89,18.1,1176.44,249.15,895.78,389.87,419.94,71,1.339,1.215,24.37,81.17,2428.915,330.608,1101.255,210.51,91.62,2428.915,80.9,0.763,10300,74.078,243.49
RHS 300x100x16.0,300,100,16,24,16,236,115,10900,1720,12620,97.5,38.7,104.9,246.47,106.13,729,344,14.72,84.33,5140,96.73,5043.27,1413.86,621.72,31.54,40623,17.9,1287.96,271.53,985.89,424.72,445.57,80,1.352,1.235,26.88,90.88,2702.428,364.701,1233.035,231.68,99.81,2702.428,90.3,0.759,11500,66,236.36
RHS 300x200x5.0,300,200,5,7.5,5,280,48.7,6320,3400,9720,114,83.5,141.3,125.29,95,421,340,14.67,26.56,6820,4.05,6815.95,243.49,552.06,29.85,14184.59,12.1,475.27,94.65,501.15,380,196,100,1.19,1.118,19.5,29.5,1145.159,264.571,400.248,117.77,89.3,1145.159,38.2,0.987,4870,202.669,575.04
RHS 300x200x5.6,300,200,5.6,9,5.6,277.6,54.4,7020,3770,10790,114,83.2,141.1,139.2,105.52,468,377,16.44,29.86,7590,5.66,7584.34,273.72,612.12,29.86,15790.26,12.1,528.86,105.22,556.79,422.07,215.77,112,1.19,1.12,21.77,32.97,1276.449,295.407,447.366,130.85,99.19,1276.449,42.7,0.986,5440,181.25,571.98
RHS 300x200x6.3,300,200,6.3,9.4,6.3,274.8,61,7830,4190,12020,113,82.9,140.1,155.93,118.08,522,419,18.31,33.39,8480,8.03,8471.97,306.72,680.7,29.77,17605.51,12.1,591.39,117.66,623.72,472.33,237.87,126,1.195,1.127,24.41,37.01,1433.124,331.137,502.09,146.57,111,1433.124,47.9,0.984,6100,161.311,568.56
RHS 300x200x7.1,300,200,7.1,10.7,7.1,271.6,68.4,8730,4670,13400,113,82.6,140,174.4,131.96,582,467,20.62,37.55,9470,11.45,9458.55,345.6,756.99,29.72,19655.41,12.1,661.45,131.42,697.58,527.84,261.87,142,1.199,1.13,27.39,41.59,1608.329,371.645,564.306,163.93,124.04,1608.329,53.7,0.982,6840,143.567,564.57
RHS 300x200x8.0,300,200,8,12,8,268,76.8,9720,5180,14900,113,82.2,139.7,194.81,147.28,648,518,23.07,42.23,10600,16.29,10583.71,389.29,840.26,29.65,21910.82,12.1,739.02,146.59,779.26,589.11,287.3,160,1.203,1.137,30.72,46.72,1803.607,416.801,633.884,183.13,138.44,1803.607,60.3,0.979,7680,127.474,560.09
RHS 300x200x8.8,300,200,8.8,13.2,8.8,264.8,84.1,10600,5630,16230,112,81.8,138.7,212.65,160.63,705,563,25.33,46.56,11500,21.57,11478.43,428.09,912.06,29.58,23870.2,12.1,806.89,159.81,850.6,642.52,308.52,176,1.207,1.141,33.65,51.25,1975.565,456.57,695.363,199.89,150.99,1975.565,66,0.977,8410,116.171,556.11
RHS 300x200x10.0,300,200,10,15,10,260,94.9,11800,6280,18080,112,81.3,138.4,238.85,180.2,788,628,28.66,52.3,12900,31.43,12868.57,486.19,1015.91,29.47,26728.31,12.2,906.83,179.14,955.41,720.8,338,200,1.212,1.148,38,58,2230.636,515.574,786.928,224.52,169.39,2230.636,74.5,0.974,9490,102.634,550.14
RHS 300x200x11.0,300,200,11,16.5,11,256,104,12800,6800,19600,111,80.9,137.4,260.18,196.09,855,680,31.41,57.35,14000,41.58,13958.42,534.49,1099.03,29.37,29035.03,12.2,988.44,194.81,1040.74,784.36,360.45,220,1.217,1.153,41.58,63.58,2440.57,564.146,862.636,244.57,184.33,2440.57,81.6,0.972,10400,93.462,545.17
RHS 300x200x12.5,300,200,12.5,18.8,12.5,250,117,14300,7540,21840,110,80.2,136.1,291.33,219.22,952,754,35.44,65.39,15700,60.45,15639.55,606.68,1218.05,29.21,32365.32,12.2,1108.04,217.57,1165.32,876.88,390.62,250,1.224,1.163,46.87,71.87,2750.994,635.987,975.181,273.85,206.07,2750.994,91.8,0.968,11700,82.735,537.72
RHS 300x200x14.2,300,200,14.2,21.3,14.2,243.2,132,15800,8330,24130,110,79.5,135.7,325.4,244.41,1060,833,39.95,73.36,17500,87.69,17412.31,687.98,1344.98,29,35947.97,12.2,1239.59,242.29,1301.61,977.66,419.94,284,1.228,1.174,52.77,81.17,3096.315,715.931,1101.255,305.88,229.75,3096.315,103.6,0.963,13200,72.955,529.29
RHS 300x200x16.0,300,200,16,24,16,236,147,17400,9110,26510,109,78.7,134.4,360.07,269.47,1160,911,44.66,82.68,19300,124.04,19175.96,773.33,1470.55,28.75,39514.48,12.2,1374.32,267.04,1440.29,1079.71,445.57,320,1.242,1.185,58.88,90.88,3454.428,798.868,1233.035,338.47,253.73,3454.428,115.4,0.959,14700,65.238,520.36
RHS 300x250x6.3,300,250,6.3,9.4,6.3,274.8,67.3,9190,6950,16140,117,102,155.2,179.06,158.17,613,556,24.7,32.3,12200,8.87,12191.13,90.59,861.7,17.79,6363.74,6.3,357.8,70.56,716.24,632.67,237.87,196.88,1.168,1.138,30.71,37.01,1581.174,416.613,502.09,168.32,148.68,1581.174,52.8,1.08,6730,160.475,715.41
RHS 300x250x7.1,300,250,7.1,10.7,7.1,271.6,75.5,10300,7750,18050,116,101,153.8,200.39,176.95,683,620,27.77,36.65,13600,12.64,13587.36,102.46,959.82,17.85,7127.81,6.3,399.24,79.32,801.56,707.82,261.87,221.88,1.174,1.142,34.49,41.59,1775.179,467.975,564.306,188.37,166.34,1775.179,59.3,1.08,7550,143.046,711.02
RHS 300x250x8.0,300,250,8,12,8,268,84.8,11400,8630,20030,116,101,153.8,224.01,197.75,761,690,31.21,40.66,15200,17.99,15182.01,115.95,1067.34,17.92,7976.46,6.3,445.06,89.11,896.06,790.98,287.3,250,1.177,1.146,38.72,46.72,1991.607,525.343,633.884,210.57,185.88,1991.607,66.6,1.08,8480,127.358,706.09
RHS 300x250x8.8,300,250,8.8,13.2,8.8,264.8,92.9,12400,9390,21790,116,101,153.8,244.68,215.92,829,751,34.24,44.53,16600,23.84,16576.16,128.06,1160.41,17.98,8721.14,6.3,485.11,97.75,978.73,863.69,308.52,275,1.181,1.15,42.45,51.25,2182.365,575.966,695.363,230,202.97,2182.365,72.9,1.08,9290,116.254,701.71
RHS 300x250x10.0,300,250,10,15,10,260,105,13900,10500,24400,115,100,152.4,275.1,242.65,928,840,38.76,50.6,18600,34.76,18565.24,146.45,1295.69,18.05,9821.01,6.3,544.11,110.59,1100.41,970.6,338,312.5,1.186,1.155,48,58,2465.636,651.251,786.928,258.6,228.09,2465.636,82.4,1.07,10500,101.905,695.14
RHS 300x250x11.0,300,250,11,16.5,11,256,115,15100,11400,26500,115,99.6,152.1,299.92,264.44,1010,911,42.54,55.54,20300,46.01,20253.99,161.99,1404.56,18.1,10721.65,6.4,592.37,121.16,1199.69,1057.75,360.45,343.75,1.188,1.161,52.58,63.58,2699.07,713.391,862.636,281.93,248.57,2699.07,90.3,1.07,11500,93.043,689.67
RHS 300x250x12.5,300,250,12.5,18.8,12.5,250,130,16900,12700,29600,114,98.9,150.9,336.25,296.29,1120,1010,48.18,63.36,22700,66.96,22633.04,185.65,1561.42,18.16,12044.71,6.4,663.33,136.81,1345.01,1185.16,390.62,390.63,1.201,1.173,59.37,71.87,3044.744,805.584,975.181,316.08,278.51,3044.744,102.1,1.07,13000,82.308,681.47
