Section,h[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Ip[cm4],iy[mm],ip[mm],max Sy[cm3],Wy[cm3],Ay[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","Apl,y[cm2]",Npl[kN],"Vpl,y[kN]","Mpl,y[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
SHS 140x140x11.0,140,11,16.5,11,96,55.5,1520,3040,52.3,74,66.23,217,24.37,2450,22.05,2427.95,7.58,315.03,1.09,23.2,0.9,21.32,2.44,265.56,50.69,107.8,1.224,28.38,1303.17,385.052,62.41,1303.17,43.6,0.532,5550,95.856,165.37
SHS 140x140x12.5,140,12.5,18.8,12.5,90,62.1,1650,3300,51.6,73,73.14,236,27.21,2700,31.8,2668.2,9.79,342.91,1.15,29.55,0.9,25.6,2.89,293.19,50.63,122.5,1.242,31.87,1458.494,432.471,68.9,1458.494,48.7,0.528,6210,85.024,161.22
SHS 140x140x14.2,140,14.2,21.3,14.2,83.2,69.3,1790,3580,50.8,71.8,80.38,256,30.7,2950,45.7,2904.3,12.34,370.93,1.21,36.62,1,30.26,3.36,322.13,49.15,139.16,1.258,35.73,1628.035,484.737,75.7,1628.035,54.4,0.523,6930,75.469,156.53
SHS 140x140x16.0,140,16,24,16,76,76.6,1920,3840,50,70.7,87.38,274,34.38,3200,63.96,3136.04,14.92,396.73,1.25,43.43,1.1,34.78,3.81,350.08,46.21,156.8,1.278,39.68,1800.028,538.368,82.27,1800.028,60.1,0.519,7660,67.755,151.56
SHS 150x150x5.0,150,5,7.5,5,130,28.7,1000,2000,59,83.4,38.92,134,12.19,1550,2.38,1547.62,1.25,196.96,0.69,4.59,0.5,6.7,0.81,155.68,42.25,56.25,1.162,14.5,675.159,196.732,36.58,675.159,22.5,0.587,2870,204.53,210.04
SHS 150x150x5.6,150,5.6,8.4,5.6,127.6,32,1110,2220,58.8,83.2,43.16,147,13.76,1720,3.32,1716.68,1.69,217.11,0.75,6.17,0.5,8.21,0.99,172.63,45.59,63,1.174,16.17,752.167,219.428,40.57,752.167,25.1,0.586,3200,183.125,208.24
SHS 150x150x6.3,150,6.3,9.4,6.3,124.8,35.8,1220,2440,58.5,82.7,47.99,163,15.23,1910,4.7,1905.3,2.29,239.74,0.82,8.34,0.6,10.11,1.21,191.95,49.06,70.88,1.178,18.11,840.924,245.66,45.11,840.924,28.1,0.584,3580,163.128,206.16
SHS 150x150x7.1,150,7.1,10.7,7.1,121.6,40,1350,2700,58.1,82.2,53.36,180,17.12,2120,6.67,2113.33,3.09,264.49,0.9,11.23,0.6,12.44,1.48,213.43,52.49,79.88,1.186,20.29,940.929,275.314,50.16,940.929,31.4,0.582,4000,145.5,203.77
SHS 150x150x8.0,150,8,12,8,118,44.8,1490,2980,57.7,81.6,59.21,199,19.25,2350,9.46,2340.54,4.15,290.96,0.98,14.98,0.7,15.22,1.8,236.84,55.7,90,1.19,22.72,1051.607,308.259,55.66,1051.607,35.2,0.579,4480,129.241,201.09
SHS 150x150x8.8,150,8.8,13.2,8.8,114.8,48.9,1610,3220,57.4,81.2,64.24,214,21.16,2550,12.49,2537.51,5.21,313.31,1.05,18.72,0.8,17.82,2.1,256.97,57.99,99,1.201,24.85,1148.365,337.174,60.39,1148.365,38.4,0.577,4890,117.996,198.71
SHS 150x150x10.0,150,10,15,10,110,54.9,1770,3540,56.8,80.3,71.5,236,23.74,2830,18.09,2811.91,7,344.83,1.14,24.92,0.8,21.87,2.55,286,60.5,112.5,1.212,28,1290.636,379.896,67.21,1290.636,43.1,0.574,5490,104.554,195.14
SHS 150x150x11.0,150,11,16.5,11,106,59.9,1900,3800,56.4,79.8,77.28,254,26.01,3060,23.83,3036.17,8.63,369.32,1.2,30.51,0.9,25.34,2.93,309.13,61.8,123.75,1.217,30.58,1406.57,414.901,72.65,1406.57,47,0.572,5990,95.492,192.17
SHS 150x150x12.5,150,12.5,18.8,12.5,100,67.1,2080,4160,55.7,78.8,85.32,277,29.39,3380,34.41,3345.59,11.27,403.18,1.29,39.35,1,30.61,3.48,342.03,62.5,140.63,1.235,34.37,1575.994,466.391,80.38,1575.994,52.7,0.568,6710,84.65,187.72
SHS 150x150x14.2,150,14.2,21.3,14.2,93.2,75,2260,4520,54.9,77.6,94,302,33.04,3710,49.51,3660.49,14.39,437.59,1.36,49.52,1,36.53,4.09,376.76,61.67,159.75,1.248,38.57,1761.515,523.269,88.54,1761.515,58.9,0.563,7500,75.067,182.69
SHS 150x150x16.0,150,16,24,16,86,83,2430,4860,54.1,76.5,102.47,324,36.92,4030,69.43,3960.57,17.68,469.73,1.41,59.77,1.1,42.38,4.68,410.62,59.17,180,1.267,42.88,1950.428,581.784,96.49,1950.428,65.2,0.559,8300,67.349,177.36
SHS 160x160x5.0,160,5,7.5,5,140,30.7,1220,2440,63.1,89.2,44.51,153,12.97,1890,2.55,1887.45,1.36,225.97,0.74,5.7,0.5,7.72,0.93,178.04,49,64,1.164,15.5,722.159,210.3,41.84,722.159,24.1,0.627,3070,204.235,240.04
SHS 160x160x5.6,160,5.6,8.4,5.6,137.6,34.2,1350,2700,62.9,89,49.39,169,14.52,2100,3.56,2096.44,1.84,249.33,0.81,7.69,0.5,9.47,1.14,197.56,53.01,71.68,1.169,17.29,804.807,234.624,46.43,804.807,26.8,0.626,3420,183.041,238.12
SHS 160x160x6.3,160,6.3,9.4,6.3,134.8,38.3,1500,3000,62.6,88.5,54.96,187,16.39,2330,5.03,2324.97,2.51,275.64,0.89,10.42,0.6,11.68,1.4,219.84,57.24,80.64,1.176,19.37,900.144,262.755,51.66,900.144,30.1,0.624,3830,162.924,235.9
SHS 160x160x7.1,160,7.1,10.7,7.1,131.6,42.9,1660,3320,62.2,88,61.17,207,18.39,2600,7.15,2592.85,3.4,304.51,0.98,14.1,0.7,14.4,1.72,244.66,61.48,90.88,1.182,21.71,1007.669,294.58,57.5,1007.669,33.7,0.622,4290,144.988,233.35
