Section,h[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Ip[cm4],iy[mm],ip[mm],max Sy[cm3],Wy[cm3],Ay[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","Apl,y[cm2]",Npl[kN],"Vpl,y[kN]","Mpl,y[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
SHS 300x300x6.3,300,6.3,9.4,6.3,274.8,73.6,10500,21000,120,169.7,202.19,703,30.85,16100,9.7,16090.3,5.66,1042.75,1.84,83.91,0.6,45.65,5.59,808.75,237.87,283.5,1.15,37.01,1729.224,502.09,190.06,1729.224,57.8,1.18,7360,160.326,862.26
SHS 300x300x7.1,300,7.1,10.7,7.1,271.6,82.6,11800,23600,119,168.3,226.39,785,35.15,18100,13.83,18086.17,7.89,1162.73,2.04,116.76,0.7,57.12,6.98,905.54,261.87,319.5,1.154,41.59,1942.029,564.306,212.8,1942.029,64.8,1.18,8260,142.857,857.47
SHS 300x300x8.0,300,8,12,8,268,92.8,13100,26200,119,168.3,253.21,875,39.18,20200,19.7,20180.3,10.95,1294.53,2.27,161.75,0.8,71.29,8.69,1012.86,287.3,360,1.158,46.72,2179.607,633.884,238.02,2179.607,72.8,1.18,9280,127.155,852.09
SHS 300x300x8.8,300,8.8,13.2,8.8,264.8,102,14300,28600,119,168.3,276.71,954,43.17,22100,26.12,22073.88,14.19,1408.92,2.46,209.19,0.9,84.96,10.32,1106.85,308.52,396,1.16,51.25,2389.165,695.363,260.11,2389.165,80.1,1.18,10200,115.686,847.31
SHS 300x300x10.0,300,10,15,10,260,115,16000,32000,118,166.9,311.35,1070,48.77,24800,38.09,24761.91,20,1575.7,2.74,293.87,1,107.21,12.97,1245.41,338,450,1.164,58,2700.636,786.928,292.67,2700.636,90.3,1.17,11500,101.739,840.14
SHS 300x300x11.0,300,11,16.5,11,256,126,17400,34800,118,166.9,339.66,1160,53.57,27000,50.45,26949.55,25.72,1710.37,2.96,377,1,127.23,15.34,1358.64,360.45,495,1.171,63.58,2957.57,862.636,319.28,2957.57,98.9,1.17,12600,92.857,834.17
SHS 300x300x12.5,300,12.5,18.8,12.5,250,142,19400,38800,117,165.5,381.17,1300,60.51,30300,73.47,30226.53,35.83,1905.22,3.28,523.1,1.2,159.51,19.13,1524.7,390.62,562.5,1.173,71.88,3338.494,975.181,358.3,3338.494,111.5,1.17,14200,82.394,825.22
SHS 300x300x14.2,300,14.2,21.3,14.2,243.2,160,21600,43200,116,164,426.86,1440,68.49,33900,106.78,33793.22,49.49,2115.93,3.61,718.87,1.3,198.98,23.71,1707.45,419.94,639,1.186,81.17,3763.715,1101.255,401.25,3763.715,125.6,1.16,16000,72.5,815.09
SHS 300x300x16.0,300,16,24,16,236,179,23800,47600,115,162.6,473.67,1590,76.75,37600,151.35,37448.65,66.39,2327.72,3.94,958.99,1.4,243.54,28.82,1894.69,445.57,720,1.192,90.88,4206.428,1233.035,445.25,4206.428,140.5,1.16,17900,64.804,804.36
SHS 350x350x8.0,350,8,12,8,318,109,21100,42200,139,196.6,347.88,1210,45.92,32400,23.11,32376.89,13.27,1788.99,2.7,267.52,0.8,99.16,12.13,1391.53,404.5,490,1.15,54.72,2555.607,742.426,327.01,2555.607,85.6,1.38,10900,126.606,1169.09
SHS 350x350x8.8,350,8.8,13.2,8.8,314.8,119,23100,46200,139,196.6,380.54,1320,50.76,35400,30.66,35369.34,17.27,1950.02,2.93,347.51,0.9,118.44,14.45,1522.15,436.04,539,1.153,60.05,2802.765,814.759,357.71,2802.765,93.4,1.38,11900,115.966,1163.51
SHS 350x350x10.0,350,10,15,10,310,135,25900,51800,139,196.6,428.8,1480,57.38,39900,44.76,39855.24,24.48,2185.83,3.28,491.49,1,149.98,18.24,1715.21,480.5,612.5,1.159,68,3170.636,922.606,403.07,3170.636,106,1.37,13500,101.481,1155.14
SHS 350x350x11.0,350,11,16.5,11,306,148,28200,56400,138,195.2,468.37,1610,62.96,43500,59.32,43440.68,31.66,2377.16,3.55,634.19,1.1,178.53,21.64,1873.47,515,673.75,1.164,74.58,3474.57,1011.881,440.27,3474.57,116.2,1.37,14800,92.568,1148.17
SHS 350x350x12.5,350,12.5,18.8,12.5,300,167,31500,63000,137,193.7,526.6,1800,71.04,48900,86.49,48813.51,44.47,2655.53,3.95,887.82,1.2,224.87,27.14,2106.42,562.5,765.63,1.17,84.37,3925.994,1144.777,495.01,3925.994,131.1,1.37,16700,82.036,1137.72
SHS 350x350x14.2,350,14.2,21.3,14.2,293.2,189,35200,70400,137,193.7,591,2010,80.56,54900,125.87,54774.13,61.99,2958.79,4.37,1232.88,1.3,282.02,33.86,2364.01,610.36,869.75,1.176,95.37,4431.115,1293.917,555.54,4431.115,148.4,1.36,18900,71.958,1125.89
SHS 350x350x16.0,350,16,24,16,286,211,38900,77800,136,192.3,657.35,2220,90.26,61000,178.65,60821.35,84.02,3266.13,4.79,1663.65,1.5,347.22,41.45,2629.39,654.37,980,1.184,106.88,4958.428,1450.119,617.91,4958.428,165.6,1.36,21100,64.455,1113.36
SHS 400x400x8.0,400,8,12,8,368,125,31900,63800,160,226.3,457.55,1590,52.88,48700,26.53,48673.47,15.6,2363.43,3.13,411.55,0.8,131.6,16.14,1830.2,541.7,640,1.151,62.72,2931.607,850.968,430.1,2931.607,98.1,1.58,12500,126.4,1536.09
SHS 400x400x8.8,400,8.8,13.2,8.8,364.8,137,34800,69600,159,224.9,500.86,1740,57.93,53300,35.2,53264.8,20.36,2579.1,3.41,536.35,0.9,157.46,19.27,2003.44,585.55,704,1.151,68.85,3216.365,934.155,470.81,3216.365,107.5,1.58,13700,115.328,1529.71
SHS 400x400x10.0,400,10,15,10,360,155,39100,78200,159,224.9,565,1960,65.58,60100,51.43,60048.57,29,2895.93,3.81,762.35,1,199.92,24.4,2260.01,648,800,1.153,78,3640.636,1058.283,531.1,3640.636,121.7,1.57,15500,101.29,1520.14
SHS 400x400x11.0,400,11,16.5,11,356,170,42700,85400,158,223.4,617.7,2130,72.23,65700,68.2,65631.8,37.65,3153.91,4.14,987.84,1.1,238.49,29.03,2470.81,697.05,880,1.16,85.58,3991.57,1161.126,580.64,3991.57,133.4,1.57,17000,92.353,1512.17
SHS 400x400x12.5,400,12.5,18.8,12.5,350,192,47800,95600,158,223.4,695.47,2390,81.56,73900,99.51,73800.49,53.19,3530.77,4.62,1391.86,1.2,301.42,36.55,2781.89,765.63,1000,1.164,96.87,4513.494,1314.374,653.74,4513.494,150.7,1.57,19200,81.771,1500.22
SHS 400x400x14.2,400,14.2,21.3,14.2,343.2,217,53500,107000,157,222,781.77,2680,92.4,83000,144.96,82855.04,74.66,3943.52,5.13,1947.44,1.3,379.5,45.81,3127.08,836.28,1136,1.167,109.57,5098.515,1486.578,734.86,5098.515,170.3,1.56,21700,71.889,1486.69
SHS 400x400x16.0,400,16,24,16,336,243,59300,118600,156,220.6,871.02,2970,103.69,92400,205.96,92194.04,101.95,4364.35,5.65,2649.61,1.5,469.24,56.37,3484.08,903.17,1280,1.173,122.88,5710.428,1667.203,818.76,5710.428,190.8,1.56,24300,64.198,1472.36
